id,nombre,precio
1,Ranúnculo,16
2,Ranúnculo,9
3,Echinácea,16
4,Orquídea,13
5,Statice,22
6,Coreopsis,24
7,Crisantemo,27
8,Heliconia,30
9,Amapola,20
10,Scabiosa,1
11,Ciclamen,19
12,Yuca,22
13,Orquídea,3
14,Dianthus,5
15,Heliconia,6
16,Girasol,9
17,Boca de dragón,11
18,Petunia,15
19,Prímula,11
20,Boca de dragón,9
21,Delphinium,9
22,Azalea,16
23,Lirio,24
24,Strelitzia,2
25,Tagete,8
26,Narciso,25
27,Margarita,25
28,Orquídea,8
29,Magnolia,27
30,Lirio,20
31,Iris,8
32,Amapola,16
33,Violeta,19
34,Petunia,15
35,Caléndula,25
36,Agapanto,6
37,Violeta,25
38,Begonia,10
39,Lavanda,19
40,Orquídea,30
41,Nemesia,19
42,Boca de dragón,13
43,Magnolia,3
44,Anémona,4
45,Miosotis,28
46,Hortensia,26
47,Yuca,26
48,Margarita,12
49,Scabiosa,14
50,Agapanto,3
51,Monarda,21
52,Statice,1
53,Delphinium,27
54,Lantana,4
55,Echinácea,12
56,Gypsophila,23
57,Iris,14
58,Fucsia,24
59,Oxalis,21
60,Fresia,20
61,Scabiosa,25
62,Kalanchoe,15
63,Echinácea,27
64,Fresia,11
65,Anémona,27
66,Camelia,9
67,Gladiolo,8
68,Heliconia,19
69,Boca de dragón,11
70,Orquídea,16
71,Prímula,6
72,Lantana,7
73,Tuberosa,26
74,Campánula,11
75,Heleboro,29
76,Heleboro,18
77,Tulipán,17
78,Jazmín,3
79,Zinnia,24
80,Cosmos,16
81,Tritoma,25
82,Zinnia,23
83,Ixora,21
84,Lantana,15
85,Lirio,3
86,Lupino,8
87,Coreopsis,23
88,Anémona,10
89,Agapanto,16
90,Tradescantia,17
91,Tagete,14
92,Tradescantia,11
93,Tuberosa,23
94,Gypsophila,9
95,Nemesia,9
96,Verbena,4
97,Jazmín,11
98,Hortensia,24
99,Scabiosa,25
100,Hibisco,7
101,Petunia,24
102,Kalanchoe,9
103,Paphiopedilum,20
104,Liatris,4
105,Jazmín,10
106,Verbena,12
107,Fucsia,10
108,Tulipán,23
109,Scabiosa,5
110,Heleboro,2
111,Girasol,18
112,Lupino,23
113,Amapola,21
114,Lantana,4
115,Tulipán,19
116,Liatris,16
117,Kalanchoe,15
118,Statice,6
119,Girasol,9
120,Kalanchoe,4
121,Narciso,13
122,Lantana,3
123,Zantedeschia,21
124,Girasol,5
125,Iris,26
126,Yuca,10
127,Azalea,8
128,Hortensia,18
129,Delphinium,20
130,Ranúnculo,25
131,Oxalis,13
132,Gladiolo,30
133,Gaura,10
134,Dianthus,10
135,Yuca,20
136,Jacinto,20
137,Gardenia,25
138,Pensamiento,21
139,Petunia,9
140,Azalea,6
141,Zinnia,6
142,Tradescantia,3
143,Begonia,1
144,Cosmos,15
145,Ixora,10
146,Clavel,8
147,Liatris,23
148,Liatris,23
149,Gypsophila,3
150,Verbena,30
151,Campánula,26
152,Magnolia,14
153,Violeta,18
154,Ranúnculo,21
155,Iris,30
156,Fresia,27
157,Geranio,3
158,Jacinto,6
159,Nemesia,20
160,Yuca,30
161,Liatris,15
162,Hortensia,15
163,Miosotis,23
164,Coreopsis,9
165,Monarda,18
166,Malva,15
167,Azalea,20
168,Margarita,29
169,Echinácea,24
170,Prímula,20
171,Caléndula,1
172,Camelia,8
173,Zantedeschia,19
174,Lirio,25
175,Fresia,19
176,Margarita,25
177,Fucsia,16
178,Oxalis,21
179,Gaura,30
180,Heleboro,6
181,Echinácea,21
182,Lantana,3
183,Ixora,12
184,Cosmos,11
185,Prímula,22
186,Lavanda,28
187,Begonia,11
188,Cosmos,23
189,Malva,10
190,Coreopsis,27
191,Tradescantia,2
192,Gypsophila,3
193,Phlox,9
194,Prímula,4
195,Coreopsis,28
196,Nigella,27
197,Rosa,22
198,Strelitzia,15
199,Cosmos,2
200,Jazmín,17
201,Alstroemeria,20
202,Malva,21
203,Gaura,25
204,Girasol,7
205,Fresia,18
206,Amapola,30
207,Liatris,15
208,Lantana,4
209,Orquídea,21
210,Zinnia,23
211,Begonia,10
212,Tradescantia,1
213,Tradescantia,14
214,Camelia,8
215,Violeta,15
216,Hortensia,21
217,Iris,16
218,Lupino,17
219,Fresia,14
220,Kalanchoe,16
221,Anémona,15
222,Tradescantia,5
223,Celosía,7
224,Nigella,24
225,Dalia,28
226,Narciso,9
227,Delphinium,11
228,Monarda,9
229,Rosa,10
230,Miosotis,27
231,Lantana,28
232,Iris,15
233,Scabiosa,16
234,Tagete,11
235,Tradescantia,25
236,Strelitzia,13
237,Gypsophila,30
238,Prímula,28
239,Jazmín,23
240,Zinnia,19
241,Celosía,8
242,Cosmos,2
243,Phlox,24
244,Ixora,23
245,Boca de dragón,13
246,Iris,16
247,Clavel,5
248,Monarda,19
249,Salvia,28
250,Gardenia,28
251,Gaura,4
252,Paphiopedilum,30
253,Gypsophila,1
254,Geranio,14
255,Iris,3
256,Ixora,26
257,Campánula,11
258,Ciclamen,21
259,Azalea,28
260,Salvia,28
261,Scabiosa,13
262,Phlox,21
263,Lantana,28
264,Strelitzia,2
265,Narciso,8
266,Liatris,8
267,Camelia,14
268,Gardenia,25
269,Gardenia,15
270,Crisantemo,23
271,Miosotis,29
272,Orquídea,2
273,Prímula,26
274,Jacinto,10
275,Tuberosa,12
276,Echinácea,5
277,Anémona,17
278,Cosmos,19
279,Hibisco,6
280,Fucsia,3
281,Boca de dragón,20
282,Zinnia,16
283,Geranio,8
284,Heliconia,21
285,Caléndula,15
286,Caléndula,22
287,Tulipán,29
288,Heliconia,29
289,Liatris,22
290,Strelitzia,6
291,Peonía,15
292,Tagete,19
293,Miosotis,21
294,Dianthus,23
295,Caléndula,15
296,Miosotis,7
297,Celosía,28
298,Kalanchoe,4
299,Zinnia,13
300,Zantedeschia,12
301,Zantedeschia,10
302,Lupino,1
303,Ciclamen,9
304,Tulipán,19
305,Girasol,30
306,Malva,27
307,Liatris,25
308,Verbena,20
309,Tuberosa,8
310,Jazmín,20
311,Caléndula,22
312,Dalia,21
313,Gardenia,29
314,Margarita,10
315,Gaura,2
316,Alstroemeria,24
317,Amapola,3
318,Lupino,11
319,Delphinium,6
320,Magnolia,5
321,Strelitzia,29
322,Alstroemeria,17
323,Monarda,30
324,Fresia,27
325,Crisantemo,9
326,Kalanchoe,26
327,Lupino,24
328,Statice,26
329,Violeta,15
330,Peonía,5
331,Ranúnculo,28
332,Ciclamen,28
333,Tritoma,12
334,Camelia,26
335,Ciclamen,1
336,Campánula,18
337,Hortensia,15
338,Agapanto,22
339,Campánula,19
340,Boca de dragón,27
341,Agapanto,4
342,Verbena,16
343,Orquídea,20
344,Tritoma,11
345,Ranúnculo,21
