id,nombre,precio
1,Violeta,1
2,Heleboro,8
3,Ranúnculo,5
4,Lavanda,22
5,Strelitzia,3
6,Dianthus,2
7,Orquídea,3
8,Petunia,8
9,Monarda,20
10,Orquídea,18
11,Magnolia,23
12,Strelitzia,14
13,Ranúnculo,15
14,Heleboro,26
15,Rosa,25
16,Begonia,23
17,Dianthus,11
18,Heleboro,5
19,Petunia,25
20,Statice,4
21,Camelia,13
22,Gardenia,12
23,Tagete,20
24,Campánula,26
25,Margarita,24
26,Gypsophila,18
27,Hortensia,30
28,Boca de dragón,3
29,Tradescantia,10
30,Alstroemeria,19
31,Jazmín,23
32,Narciso,2
33,Verbena,25
34,Lupino,3
35,Verbena,28
36,Gardenia,13
37,Heleboro,15
38,Alstroemeria,6
39,Agapanto,12
40,Pensamiento,22
41,Fresia,23
42,Peonía,20
43,Crisantemo,18
44,Anémona,6
45,Heliconia,13
46,Fresia,30
47,Tritoma,8
48,Prímula,27
49,Jacinto,8
50,Clavel,26
51,Phlox,13
52,Fresia,3
53,Petunia,30
54,Yuca,29
55,Phlox,7
56,Malva,13
57,Gypsophila,5
58,Campánula,5
59,Anémona,24
60,Tritoma,18
61,Campánula,24
62,Dianthus,29
63,Coreopsis,12
64,Ranúnculo,5
65,Nigella,16
66,Camelia,25
67,Girasol,28
68,Violeta,5
69,Begonia,26
70,Dianthus,20
71,Narciso,13
72,Boca de dragón,20
73,Heliconia,17
74,Caléndula,18
75,Tulipán,22
76,Violeta,22
77,Scabiosa,25
78,Fresia,25
79,Statice,4
80,Lupino,14
81,Begonia,15
82,Rosa,24
83,Campánula,17
84,Fucsia,17
85,Lavanda,28
86,Miosotis,27
87,Monarda,20
88,Magnolia,5
89,Agapanto,25
90,Begonia,18
91,Paphiopedilum,30
92,Rosa,20
93,Prímula,16
94,Lirio,4
95,Alstroemeria,29
96,Nemesia,8
97,Jacinto,8
98,Yuca,3
99,Azalea,24
100,Lantana,27
101,Narciso,25
102,Scabiosa,25
103,Amapola,5
104,Ixora,18
105,Crisantemo,9
106,Paphiopedilum,28
107,Dianthus,7
108,Strelitzia,25
109,Magnolia,23
110,Nemesia,13
111,Agapanto,15
112,Oxalis,15
113,Hortensia,8
114,Ranúnculo,3
115,Statice,1
116,Tradescantia,8
117,Ranúnculo,1
118,Peonía,23
119,Jacinto,8
120,Narciso,29
121,Clavel,28
122,Salvia,3
123,Nigella,8
124,Heleboro,22
125,Lantana,7
126,Strelitzia,5
127,Zantedeschia,19
128,Ixora,8
129,Ixora,26
130,Cosmos,7
131,Gardenia,4
132,Echinácea,12
133,Dianthus,14
134,Heliconia,28
135,Girasol,22
136,Gardenia,2
137,Coreopsis,24
138,Statice,26
139,Lavanda,8
140,Jazmín,7
141,Scabiosa,15
142,Dalia,14
143,Hibisco,9
144,Heliconia,8
145,Peonía,15
146,Tradescantia,4
147,Girasol,21
148,Strelitzia,27
149,Tulipán,3
150,Zinnia,6
151,Cosmos,16
152,Kalanchoe,7
153,Coreopsis,29
154,Jacinto,6
155,Boca de dragón,1
156,Celosía,9
157,Gypsophila,10
158,Dianthus,23
159,Tritoma,22
160,Lantana,5
161,Jazmín,10
162,Petunia,2
163,Strelitzia,2
164,Phlox,2
165,Girasol,19
166,Kalanchoe,17
167,Paphiopedilum,6
168,Jacinto,17
169,Azalea,28
170,Hibisco,3
171,Narciso,22
172,Zinnia,13
173,Hortensia,29
174,Yuca,8
175,Margarita,20
176,Azalea,14
177,Yuca,17
178,Phlox,30
179,Campánula,7
180,Phlox,8
181,Campánula,13
182,Amapola,22
183,Miosotis,15
184,Phlox,30
185,Peonía,1
186,Gypsophila,20
187,Yuca,4
188,Peonía,18
189,Petunia,17
190,Campánula,5
191,Tagete,29
192,Narciso,29
193,Anémona,12
194,Liatris,6
195,Gaura,27
196,Strelitzia,23
197,Miosotis,20
198,Paphiopedilum,1
199,Tradescantia,10
200,Lavanda,29
201,Dalia,9
202,Violeta,29
203,Lavanda,24
204,Tradescantia,5
205,Fresia,10
206,Pensamiento,23
207,Statice,7
208,Campánula,17
209,Lantana,9
210,Girasol,3
211,Dianthus,27
212,Heleboro,2
213,Rosa,11
214,Amapola,21
215,Campánula,6
216,Gaura,18
217,Dianthus,18
218,Tulipán,4
219,Peonía,29
220,Iris,18
221,Clavel,27
222,Agapanto,19
223,Tradescantia,5
224,Echinácea,5
225,Margarita,10
226,Alstroemeria,29
227,Margarita,29
228,Tuberosa,7
229,Anémona,22
230,Lavanda,12
231,Tritoma,29
232,Cosmos,20
233,Iris,30
234,Zinnia,28
235,Begonia,26
236,Fucsia,29
237,Cosmos,1
238,Fucsia,24
239,Salvia,26
240,Cosmos,26
241,Anémona,9
242,Begonia,26
243,Lavanda,13
244,Clavel,28
245,Ixora,8
246,Magnolia,27
247,Gypsophila,12
248,Nemesia,27
249,Verbena,8
250,Orquídea,22
251,Jazmín,13
252,Salvia,9
253,Narciso,25
254,Heleboro,12
